GeneID	GSM5226229	GSM5226230	GSM5226231	GSM5226232	GSM5226233	GSM5226234	GSM5530616	GSM5530617	GSM5530618	GSM5530619	GSM5530620	GSM5530621
6146	14119	9389	7653	5896	10966	6401	6598	3508	3951	3398	3917	4111
107985733	43	39	30	77	79	66	20	20	5	3	17	26
102724450	21	7	23	7	12	16	9	7	18	14	9	2
388591	167	148	25	1330	1028	875	162	194	44	119	239	285
23463	1696	2030	134	2056	2766	1985	680	858	167	389	650	1341
148645	4	0	0	6	5	4	2	0	3	6	0	1
390992	1	0	0	0	0	0	0	0	0	0	0	0
387509	667	406	14	598	382	897	190	252	72	329	375	730
11332	288	327	39	311	291	381	174	116	62	364	176	308
54626	7	6	0	25	46	13	11	2	0	9	10	15
83715	32	26	0	137	601	49	42	15	19	173	70	13
100422975	0	0	0	0	0	0	0	0	0	0	0	0
8718	196	169	1	612	183	315	128	150	22	178	169	130
57449	835	531	13	955	564	600	82	285	19	142	177	246
79707	457	523	49	352	405	564	246	267	83	231	180	391
80835	1	6	0	5	4	3	3	1	1	0	1	0
107984912	0	0	0	2	0	1	0	0	0	0	1	0
3104	287	336	101	510	353	577	373	224	229	688	359	206
9903	1738	1359	73	1086	2255	1604	331	539	61	227	336	1043
107984913	2	20	0	10	3	9	0	7	0	1	5	5
148479	1113	531	47	577	464	482	161	295	44	91	255	548
90326	375	442	146	391	472	402	371	244	201	435	309	216
55735	320	488	43	662	950	810	175	332	82	287	306	409
100505887	0	0	0	0	0	0	0	0	0	0	0	0
110841581	3	4	10	1	2	12	21	4	5	19	2	0
23261	752	973	146	529	620	515	425	369	116	307	304	555
105376692	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0
101928836	24	0	0	1	0	3	2	1	0	7	5	2
105376691	0	0	0	0	0	0	0	0	0	0	0	0
105376689	12	20	1	116	50	31	15	15	0	26	27	23
9341	2953	3164	157	2283	2704	2349	887	1008	210	519	835	1946
8863	287	376	9	884	2035	1183	122	282	42	28	203	352
10911	2	2	1	5	50	8	0	8	1	1	2	8
3604	28	31	0	83	8	96	6	16	0	26	21	122
11315	5917	4103	2004	2752	3114	3192	2525	1493	1238	1258	1737	2007
54206	6766	7552	1257	10550	27982	8614	1913	1961	1277	231	1898	8111
107984915	0	0	0	0	0	0	2	0	0	1	0	0
102724539	0	0	0	0	0	3	0	0	0	4	5	2
105376695	0	0	0	0	0	1	0	0	0	0	2	0
50651	61	84	8	79	33	149	31	65	17	74	43	69
473	858	1824	124	2471	2119	3358	673	1194	259	268	910	1190
102724552	7	8	0	11	5	5	12	4	2	20	6	0
106632271	0	0	0	0	0	0	0	0	0	0	0	0
2023	18041	13167	714	18110	29955	14667	4117	5290	1404	8951	5464	13675
102465436	1	1	0	3	2	2	1	0	0	1	0	2
100505975	6	3	2	6	5	3	10	2	2	2	3	2
112268261	19	9	4	10	4	11	12	5	5	7	4	9
765	2	0	0	1	0	1	0	0	0	0	0	0
155184	2	0	0	0	0	0	2	0	0	3	0	0
6518	330	73	7	412	123	276	128	34	7	108	79	165
80045	525	132	30	297	157	342	59	91	30	83	92	236
106614088	208	304	15	545	152	464	122	137	17	50	175	303
407040	1	2	0	2	0	1	0	1	0	0	0	1
102724571	23	18	8	28	13	18	13	4	14	18	20	8
9563	1305	1808	104	3962	2425	4082	923	946	297	377	961	2210
80176	5387	2314	90	1697	1255	1685	662	460	151	578	525	2083
100506022	32	57	3	44	25	38	21	9	6	11	22	8
84275	709	356	45	185	175	235	101	129	29	91	111	291
199953	263	181	18	257	270	354	82	185	39	147	149	305
107985734	10	5	5	6	3	8	15	6	9	38	10	5
105376712	0	0	0	0	0	0	0	0	0	0	0	0
5293	620	359	43	1174	232	828	242	265	140	545	261	659
644997	1	2	0	0	0	2	1	1	0	4	1	1
101929074	53	8	56	16	5	35	36	16	37	39	16	9
22883	1479	1655	185	3830	10068	3916	1062	1550	574	1197	1355	2701
56998	523	378	174	547	848	723	301	302	172	167	313	315
105376717	9	9	1	15	21	17	2	5	0	2	7	6
84328	582	827	186	846	899	845	381	328	194	261	393	420
64802	160	234	50	257	140	236	132	74	28	67	89	76
113391335	0	0	0	0	0	0	1	0	0	0	0	0
100847055	0	0	0	0	0	0	0	0	0	0	0	0
116362	2571	649	50	94	23	282	184	104	76	215	180	98
10277	444	600	114	850	934	1082	341	368	183	144	317	442
23095	1456	1291	50	1709	1535	2265	272	697	134	374	309	1727
105376725	1	4	0	8	5	9	2	2	1	10	0	3
5226	3905	1415	218	1840	1414	2149	776	670	298	1516	807	1223
100526739	48	45	20	80	55	107	47	46	13	9	49	31
378708	63	52	48	92	61	120	83	52	30	12	62	34
1325	16	10	3	9	6	17	12	10	11	8	11	3
1676	707	766	98	832	1137	899	318	374	149	378	263	486
5195	254	230	46	350	418	346	119	134	50	135	175	224
54897	27	211	7	382	388	565	45	122	28	57	118	133
105376733	0	0	0	1	0	5	3	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0	0	0	0	0
148345	15	37	30	622	38	853	370	555	144	290	611	104
23435	3304	3309	334	4067	4183	3687	1005	1835	471	677	1338	3044
10747	21	76	3	43	27	161	18	75	5	5	19	42
6723	2122	1244	386	793	693	960	464	523	319	1275	475	1276
5394	1014	1241	109	1429	2283	1682	455	732	173	247	615	1045
105376736	5	14	0	17	29	29	1	5	0	1	4	12
2475	401	783	43	1325	1799	1676	224	484	89	116	319	891
100873935	1	5	0	12	20	10	1	6	0	0	0	7
10218	40	280	0	79	0	138	91	45	2	4	7	5
29914	300	419	71	315	639	562	129	245	56	107	182	305
105376737	0	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0	0	0
105376740	0	0	0	2	0	0	0	0	2	0	0	1
57540	3	2	1	59	3	76	10	32	7	17	42	20
112268221	0	0	0	6	0	15	1	5	1	0	8	1
101929181	0	0	0	0	0	0	0	0	0	0	0	0
26232	61	120	625	235	383	377	235	142	524	232	166	39
93611	417	369	150	795	899	664	404	446	228	455	402	213
26270	221	159	40	370	175	266	95	89	29	53	89	174
10459	1013	555	185	445	691	436	295	234	184	446	266	475
374946	9	11	0	19	7	14	8	2	1	11	6	7
57085	859	560	187	1070	913	630	485	190	245	777	385	434
284498	80	256	2	141	64	174	24	68	7	54	36	72
102724659	0	1	0	1	1	0	0	0	0	0	1	0
4524	705	1350	61	797	505	1019	333	393	237	614	292	367
1185	247	333	14	823	932	845	158	322	26	67	192	353
100379251	27	50	2	105	103	137	11	68	3	9	45	37
4878	14	15	1	21	6	28	8	27	0	17	25	9
4879	1	1	0	1	0	0	1	1	0	0	2	0
26829	2	0	1	1	0	0	0	0	2	2	0	0
90231	1327	1152	416	1324	1641	1430	667	590	470	911	593	802
5351	3345	1254	365	2941	2229	2740	1283	800	656	2276	1011	2901
9927	1686	2464	94	1891	2252	2419	420	937	153	347	697	1655
60672	681	455	113	495	485	525	376	217	188	1549	265	368
102466982	2	2	0	0	1	1	0	0	0	0	0	2
943	367	51	1	58	23	60	23	18	0	15	6	112
102465836	2	2	0	12	3	7	0	1	0	0	2	10
7133	5617	1462	63	2702	779	2044	846	967	224	1678	723	2196
100616438	0	0	0	2	0	0	0	0	0	0	0	0
107984917	10	3	0	5	5	2	0	3	0	2	2	8
55187	703	1982	91	1967	1762	2353	411	732	206	241	386	1264
677885	2	6	0	13	12	6	0	1	1	0	1	7
105376744	4	5	3	26	7	9	4	3	5	1	1	6
9249	2914	986	797	1924	1354	1652	1568	462	1354	2208	811	339
102466722	7	1	0	1	7	1	0	1	0	0	2	0
343066	10	3	0	3	0	0	2	4	0	0	0	0
126767	3	0	0	0	0	0	0	0	0	0	0	0
93190	0	0	0	8	5	21	1	28	1	6	6	1
390999	0	0	0	0	0	0	0	1	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0
343069	98	81	3	77	118	87	24	43	2	3	34	67
65122	0	0	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	1	0
440561	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0
649330	2	0	0	0	0	0	0	1	0	0	0	1
441873	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	1	0	0	0	0	0	0	0	0
440563	49	41	1	39	60	44	9	25	1	1	16	35
645354	0	0	0	1	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	1	0	0	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0	0	1
343068	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	1	0
645382	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0
126755	2	11	0	0	0	2	0	1	2	0	0	3
102724856	0	0	0	0	0	0	0	0	0	0	1	0
107984918	0	0	0	0	0	0	0	0	0	0	0	0
10630	3448	503	35	644	472	726	462	517	75	508	415	2398
107984919	2	2	1	0	3	1	0	0	0	0	2	3
105378612	0	0	0	0	0	0	0	0	0	0	0	1
105376756	0	0	0	0	0	0	0	0	1	0	0	0
7799	701	845	65	1562	1003	1595	381	531	109	187	330	1062
23254	345	438	24	510	958	663	89	236	51	106	160	381
107985467	2	1	0	1	0	1	0	1	0	0	1	1
107985468	1	0	1	0	1	2	0	0	0	4	1	1
105376762	0	0	0	1	0	0	0	0	0	0	0	0
105376759	0	2	0	9	0	4	0	2	2	0	1	2
107985469	0	1	2	0	1	1	0	0	1	0	0	0
200197	49	99	25	271	228	307	98	48	109	74	126	60
55092	434	286	94	862	877	821	435	183	240	271	447	556
727684	0	0	2	2	6	2	4	0	9	21	2	4
114827	2	12	1	71	54	45	21	16	9	11	24	44
101927417	4	9	0	17	9	7	3	4	1	7	7	21
101927441	5	7	0	26	18	22	4	2	0	4	6	11
79180	3482	2429	449	3313	3140	2877	725	874	752	2305	927	3390
11330	331	1383	752220	294	496	21146	102649	192	577129	4011	25244	361
63036	131	608	286887	67	133	13512	57718	122	176430	1523	12224	183
105376767	1	4	28	1	0	11	10	0	34	0	10	1
51032	50	378	83089	20	47	5496	20121	51	42943	429	6758	59
842	476	658	133	353	305	476	147	169	108	47	217	465
23341	241	312	22	618	528	599	115	203	46	58	155	309
107397391	0	0	0	0	0	0	0	0	0	0	0	0
79814	25	9	5	43	54	49	14	10	1	27	14	24
84301	656	629	48	1466	1618	1368	214	465	101	97	296	847
6248	62	61	1	201	299	175	9	34	3	3	17	113
23207	2697	1982	121	2456	1901	3022	724	1142	318	928	1021	2394
284723	47	103	23	188	29	352	65	115	44	80	118	74
110806303	3	16	0	9	2	16	7	4	1	1	7	5
388595	0	3	0	2	0	3	1	0	0	20	2	3
54751	960	4705	91	1805	917	2566	685	837	181	974	979	1947
440567	655	413	156	310	495	301	172	108	50	27	144	205
729614	79	94	35	112	73	171	123	100	43	36	97	43
23013	577	1073	28	2411	1939	3024	154	935	64	70	386	1598
7709	801	723	104	875	880	890	353	375	156	550	461	729
149563	0	0	0	0	0	2	0	0	0	0	1	1
27129	1511	3911	13	68	77	247	113	193	34	157	60	288
1187	17	21	20	1	25	68	13	6	29	20	104	9
1188	38	23	14	4	21	72	13	7	31	15	66	8
348487	2	3	15	78	7	142	37	156	37	170	59	16
1969	423	422	23	4054	2204	1113	58	212	29	182	536	1165
101927479	2	9	1	94	55	70	3	7	5	18	9	45
128272	258	85	27	384	593	375	127	111	67	159	130	243
101927546	40	20	18	50	76	87	22	15	32	38	29	17
79363	33	33	22	59	41	53	45	20	17	11	24	12
54455	469	611	70	713	634	834	343	371	132	178	280	417
26099	1467	2041	127	1711	1712	2096	434	819	161	408	565	1656
374955	1000	1084	103	909	919	1126	348	464	132	367	423	920
55707	1767	1146	153	1784	1525	1588	735	435	248	738	694	939
107984921	7	24	1	43	26	55	16	23	0	21	19	29
114819	34	117	7	297	195	300	51	95	13	29	58	85
26871	7	7	24	14	3	1	4	0	63	97	2	2
107985757	0	0	0	0	0	0	0	0	0	0	0	0
100132147	0	4	0	2	2	5	0	7	0	0	2	0
107985758	0	1	0	0	0	1	0	1	0	0	0	0
7195	0	0	0	0	0	0	0	0	0	0	0	0
55672	224	640	11	564	507	967	164	250	23	33	210	433
105376794	143	400	34	669	1443	1278	232	492	48	164	344	347
84809	100	219	32	268	503	508	199	220	51	130	198	170
11209	66	46	103	146	236	500	132	54	109	46	290	41
107985736	0	4	8	2	7	30	4	2	2	1	21	3
26869	8	6	21	13	3	2	5	0	62	92	1	2
107985759	0	0	0	0	0	0	0	0	0	0	0	0
284729	0	1	0	11	26	24	0	2	0	0	3	0
100189045	0	0	0	0	0	0	0	0	0	0	0	0
6060	8	5	21	13	1	1	4	0	65	95	2	2
11223	31	69	128	103	203	695	147	58	128	40	432	36
100500876	0	0	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0	0	0
112267871	0	2	0	4	1	5	0	5	1	0	0	0
7193	0	0	0	0	0	0	0	0	0	0	0	0
100189183	0	0	0	0	0	0	0	0	0	0	0	0
105376805	177	43	45	78	94	53	92	34	42	17	23	39
791226	0	0	0	0	0	0	0	0	0	0	0	0
26870	7	7	26	12	3	3	5	0	65	84	2	3
9696	400	437	58	900	708	1336	430	337	141	205	460	529
4237	2884	381	21	1029	308	1255	693	164	135	279	544	2437
105376806	254	45	1	108	40	138	57	15	2	1	57	240
23400	426	409	190	1059	651	1235	306	369	314	555	421	400
6390	1440	1422	309	1163	1873	1210	589	490	191	139	589	838
11240	444	197	17	1113	371	310	195	63	75	177	147	343
105376808	0	0	0	0	0	0	0	0	0	0	0	0
400743	0	1	0	4	6	0	1	0	0	0	0	2
29943	10	24	0	631	9737	974	5	4	8	509	314	102
51702	2	0	0	14	56	4	2	0	0	1	4	5
100616188	0	0	0	0	0	0	0	0	0	0	0	0
23569	45	285	0	16	4	28	4	22	3	11	5	21
353238	0	2	0	0	0	0	0	0	0	0	1	0
55920	1500	755	66	2070	2837	2290	474	577	121	345	775	1665
55160	684	2290	108	1665	3235	2041	388	994	180	194	638	767
107984028	0	0	0	0	0	0	0	0	0	0	0	0
81569	0	0	0	0	0	0	0	0	0	1	0	2
105376809	0	0	0	0	0	0	0	0	0	0	0	0
105376812	0	1	0	0	0	0	0	0	0	0	8	0
101927876	0	1	0	0	0	0	0	0	0	0	0	0
84966	53	95	11	111	36	140	117	64	14	46	68	83
105376814	0	0	0	0	1	1	0	0	0	0	0	0
127707	0	7	19	60	71	120	18	19	18	2	79	7
5081	0	0	0	0	0	0	0	0	0	0	0	0
80834	0	1	0	0	0	1	0	0	0	0	0	0
8659	756	514	20	155	267	278	58	88	25	45	99	153
100616120	0	0	0	0	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0	0	0	0
126917	331	731	81	608	940	897	137	137	91	87	306	494
105376815	0	2	1	1	0	10	1	0	3	0	4	1
23352	1978	2477	105	5667	5935	6426	844	1779	282	1052	1146	3549
101927895	65	27	11	47	63	47	8	15	12	23	7	29
23065	731	882	76	1309	2036	1095	324	556	168	433	404	890
51154	1433	1226	412	620	951	842	319	365	256	1213	379	766
246181	50	42	107	71	624	180	70	53	84	35	99	34
22977	53	40	666	148	1687	322	148	102	231	59	198	28
100506730	39	28	9	53	166	77	23	55	10	0	30	44
8574	1165	750	361	687	754	897	613	329	396	521	571	527
54896	364	224	105	338	284	411	296	212	136	307	196	251
832	7291	5519	303	5239	4277	4284	2330	1854	506	1257	2199	5781
105376819	1	3	0	7	4	4	1	3	1	0	2	1
105376818	0	0	0	1	0	0	0	0	0	0	2	1
105376817	1	0	0	0	3	0	0	1	0	0	0	1
105378614	0	0	0	0	0	0	1	0	2	0	1	1
440574	2244	1422	444	937	1290	917	1010	438	419	588	637	876
100532736	7851	2788	195	4223	3458	4029	3226	1325	736	3348	2524	6198
644068	666	214	612	232	358	206	343	107	281	313	151	194
4681	7671	2625	160	4278	3392	4120	3166	1306	717	3301	2504	6294
3362	2	2	0	6	1	8	2	2	0	3	2	4
255104	284	303	41	514	1208	556	192	173	75	93	289	196
54546	6	3	71	5	7	53	30	4	59	1	22	8
105376823	0	0	0	2	1	0	0	0	0	0	0	0
23252	213	308	18	512	696	526	147	229	37	78	136	272
30814	0	0	0	0	0	0	0	0	0	0	0	0
5320	8825	4871	10	371	7	788	97	432	13	1569	58	360
5322	333	386	3	99	17	84	42	61	7	20	66	213
26279	23	12	0	121	1	26	25	16	0	34	25	5
64600	0	1	0	29	0	0	0	0	0	0	0	2
391013	6	1	0	2	1	3	2	1	5	1	0	4
127733	218	112	11	348	437	553	108	167	32	93	84	227
