GeneID	GSM4051655	GSM4051656	GSM4051657	GSM4051658	GSM4051659	GSM4051660	GSM4051661	GSM4051662	GSM4051663	GSM4051664
127262	242	557	111	229	520	80	263	225	196	221
49856	140	143	53	104	118	69	132	79	149	97
7161	50	107	34	29	28	22	22	29	42	24
105378610	0	0	0	0	2	0	1	0	0	0
105378609	1	0	0	1	2	0	0	0	0	4
57212	225	389	97	210	106	150	278	99	253	224
148870	0	17	13	2	5	3	2	0	4	2
388588	34	104	52	21	83	53	45	21	34	75
57470	897	1314	493	697	534	696	813	630	635	656
9731	330	452	178	269	209	239	210	181	294	206
1677	199	133	69	174	84	103	153	140	187	97
107984910	2	0	10	0	2	1	0	6	0	6
339448	92	145	62	89	95	44	93	32	94	90
100133612	5	17	6	11	3	2	1	7	4	2
728716	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0
55966	116	0	66	91	28	266	77	73	16	98
105376680	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	4	0	46	17	0	0	0
105376686	0	0	0	5	0	3	15	3	0	4
100616421	0	6	0	1	0	0	0	0	0	2
261734	372	703	126	282	201	212	280	129	207	272
8514	909	971	56	761	276	521	670	30	878	511
26038	14	11	0	33	6	7	9	12	3	92
105376687	0	0	0	0	0	9	0	0	0	0
6146	255	1593	239	220	588	163	364	202	422	328
107985733	58	60	20	27	11	45	44	14	17	16
102724450	18	23	7	10	5	15	26	18	5	10
388591	685	377	189	378	220	439	357	144	240	254
23463	1803	2023	832	1007	1001	1153	1188	494	842	1237
148645	8	0	0	0	3	0	0	2	2	0
390992	0	0	0	0	0	0	0	0	0	0
387509	509	679	110	200	248	176	457	21	184	167
11332	210	133	23	114	161	87	53	33	178	101
54626	16	22	0	6	26	3	6	0	2	10
83715	53	243	10	44	63	57	40	12	60	29
100422975	0	0	0	0	2	0	0	0	0	0
8718	422	179	44	158	99	140	105	32	393	97
57449	780	851	189	364	443	411	654	129	828	351
79707	404	698	180	289	194	258	417	166	475	313
80835	10	4	0	2	0	10	8	0	4	4
107984912	0	3	0	0	0	0	7	0	0	0
3104	656	662	154	439	218	365	502	196	593	320
9903	1926	2182	473	971	554	843	1303	455	848	756
107984913	28	30	0	17	11	25	15	0	37	11
148479	225	354	36	154	183	162	232	30	167	140
90326	288	394	110	178	94	150	178	58	169	157
55735	401	601	189	267	211	188	332	129	325	247
100505887	0	0	0	0	0	0	0	0	0	0
110841581	1	11	0	2	0	0	0	0	2	0
23261	195	204	73	119	109	166	95	74	212	122
105376692	0	0	0	0	0	0	7	0	0	0
102725193	5	0	0	3	0	0	0	0	2	0
101928836	0	0	6	2	0	0	0	0	0	2
105376691	0	0	0	0	0	0	0	0	1	0
105376689	3	11	1	5	1	16	0	0	3	3
9341	179	564	67	258	310	143	125	74	284	195
8863	67	545	54	103	95	68	177	70	97	89
10911	36	9	0	0	0	22	15	4	3	3
3604	126	41	8	41	25	39	1	8	246	21
11315	353	676	241	354	448	267	339	196	414	331
54206	582	2549	718	139	656	354	130	1105	136	137
107984915	0	0	0	0	0	0	0	0	0	3
102724539	0	4	0	0	1	0	0	0	0	0
105376695	1	0	9	2	0	0	0	11	0	0
50651	44	62	0	26	15	31	29	0	11	11
473	1975	4624	2145	2200	2438	2102	1945	1596	3204	2782
102724552	2	6	2	2	4	0	0	2	6	3
106632271	1	0	0	2	0	0	0	0	5	4
2023	7582	24596	1235	3585	5719	4931	2758	954	3495	4138
102465436	16	19	0	1	0	5	15	0	2	3
100505975	0	27	0	6	3	12	9	0	4	8
112268261	0	0	0	0	1	0	0	0	6	0
765	7	1	3	0	0	0	0	0	3	0
155184	0	0	0	2	2	0	0	0	2	0
6518	247	206	15	141	200	212	94	7	239	152
80045	430	504	140	172	359	222	163	88	236	175
106614088	451	537	58	213	182	290	256	62	122	184
407040	11	5	0	7	6	0	0	2	3	6
102724571	69	49	12	28	34	67	29	5	26	37
9563	3872	6001	1079	2593	1405	3333	4359	966	2306	2523
80176	1337	1299	89	532	612	750	584	90	231	473
100506022	42	32	6	18	21	23	84	0	18	32
84275	27	57	23	20	34	20	23	5	38	16
199953	157	194	83	134	94	125	249	80	88	121
107985734	0	0	3	2	3	0	5	0	2	1
105376712	12	0	0	6	5	0	3	0	22	0
5293	1554	662	74	1099	348	587	678	42	2150	553
644997	15	10	0	11	3	4	7	0	34	4
101929074	37	8	8	29	12	5	15	4	30	11
22883	1141	2213	546	1114	1302	534	1616	508	903	868
56998	251	510	221	238	342	218	334	202	168	371
105376717	27	43	20	17	43	20	21	20	14	16
84328	646	988	299	680	459	425	472	275	1450	493
64802	427	666	255	270	212	369	253	177	294	225
113391335	12	8	0	2	0	5	4	11	2	5
100847055	0	0	0	0	0	0	0	0	0	0
116362	15	10	0	3	9	8	11	8	57	10
10277	486	1091	452	497	339	299	458	338	691	508
23095	720	1337	681	805	745	691	744	383	806	933
105376725	3	7	0	3	5	6	2	4	5	5
5226	693	1052	216	612	471	414	527	81	406	547
100526739	14	21	9	26	25	18	11	17	45	28
378708	14	21	9	23	24	18	11	17	44	28
1325	0	0	6	1	5	4	4	2	1	1
1676	941	2172	464	588	335	751	939	330	736	482
5195	296	423	78	212	119	175	202	91	188	229
54897	460	1020	210	334	226	353	239	207	185	223
105376733	0	3	14	0	0	0	1	12	0	2
105376735	0	0	0	0	0	0	0	0	0	0
148345	9	4	3	58	4	64	60	13	17	165
23435	250	312	55	170	204	118	160	80	223	143
10747	0	13	2	3	4	3	0	2	9	3
6723	105	110	75	111	114	73	110	220	122	108
5394	345	626	133	289	285	269	233	97	469	282
105376736	15	15	11	14	20	2	9	0	14	12
2475	1200	1056	583	818	754	728	794	424	994	782
100873935	13	25	18	16	22	15	30	19	22	17
10218	70	9	0	26	11	0	50	4	36	60
29914	140	176	49	113	86	80	107	66	131	88
105376737	5	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0	0	0
57540	2	4	0	14	4	16	27	16	9	21
112268221	0	0	3	2	1	6	3	0	1	2
101929181	0	0	0	0	0	0	0	0	0	0
26232	38	45	212	119	34	98	79	293	45	119
93611	403	465	241	341	151	207	427	239	453	254
26270	242	140	76	214	202	133	101	38	211	169
10459	172	216	98	109	138	145	90	24	188	157
374946	27	34	4	14	6	0	62	0	6	19
57085	542	739	223	428	439	369	410	160	272	402
284498	318	357	96	238	98	183	396	70	226	205
102724659	0	0	0	0	1	0	0	0	0	0
4524	1350	1492	366	851	534	651	1269	315	1043	769
1185	243	358	41	193	118	99	233	60	194	169
100379251	13	10	4	10	4	4	20	11	15	5
4878	0	4	0	10	0	0	9	0	0	1
4879	0	0	0	0	0	0	0	0	0	0
26829	4	21	3	0	0	0	13	0	7	1
90231	1118	1634	328	677	623	728	999	445	670	751
5351	1004	2809	192	569	859	541	1287	207	298	633
9927	2213	1366	595	1341	1088	1111	833	535	1613	1165
60672	831	681	178	415	314	469	360	96	524	452
102466982	1	0	0	1	0	1	0	0	3	1
943	141	56	5	30	13	30	85	1	71	33
102465836	7	22	0	0	0	23	0	0	1	0
7133	2600	2575	116	1010	644	973	1407	72	1828	786
100616438	22	10	0	8	10	9	8	0	11	2
107984917	16	2	0	10	1	0	2	4	11	1
55187	1905	2917	1419	1364	1071	1727	1631	670	2172	1588
677885	3	10	1	8	7	16	3	6	2	3
105376744	7	4	13	19	0	4	8	2	31	5
9249	1677	1305	640	1129	1503	968	2465	654	931	1224
102466722	16	1	0	14	16	2	19	8	6	9
343066	0	0	0	0	0	0	14	0	0	0
126767	0	0	0	0	0	0	0	0	0	0
93190	0	0	0	0	0	0	0	0	0	0
390999	0	0	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0
343069	0	0	0	1	0	0	0	0	0	0
65122	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0	0	0	0
441873	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	1	0	0	0	0	0	0
440563	0	0	0	0	0	0	0	0	1	1
645354	0	0	0	1	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	0	1	1
343070	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	1	0
343068	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0	0	0
102724856	0	0	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	0	0	0
10630	153	392	9	110	109	48	322	0	95	85
107984919	0	24	0	0	0	0	0	0	0	0
105378612	0	0	0	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0	0	0
7799	1301	1467	337	821	840	568	742	211	3460	529
23254	183	282	175	133	110	190	387	319	57	158
107985467	3	5	0	0	0	0	0	3	2	3
107985468	2	0	0	0	0	0	15	0	1	0
105376762	0	2	0	2	0	0	0	3	0	1
105376759	10	3	19	7	0	24	29	0	7	8
107985469	4	0	0	1	0	0	9	0	0	4
200197	114	250	175	100	85	133	105	400	17	152
55092	342	840	375	340	378	618	224	379	73	494
727684	65	146	57	96	111	64	54	43	24	76
114827	65	156	25	51	98	44	21	23	14	81
101927417	9	31	3	2	3	4	2	1	4	6
101927441	150	71	0	47	47	39	45	23	63	33
79180	2136	2628	395	1172	1059	1260	960	532	1116	1108
11330	82	22	101028	3223	31	16093	8088	85763	21	36246
63036	39	28	217161	733	54	1920	3951	154535	43	15129
105376767	11	3	1299	31	1	59	45	864	0	93
51032	23	5	71482	504	20	629	1344	49596	19	6453
842	173	165	412	167	176	174	211	367	141	264
23341	368	536	371	351	335	375	317	259	696	437
107397391	4	0	0	1	6	0	1	0	2	2
79814	105	304	37	16	35	52	56	41	160	34
84301	656	1200	272	591	697	327	450	232	1145	447
6248	22	54	1	25	39	12	30	9	38	21
23207	2556	3078	706	1572	1563	1613	2309	484	1840	1981
284723	26	51	49	80	26	87	166	59	48	101
110806303	2	0	5	3	1	4	5	0	3	6
388595	0	0	7	0	0	0	0	0	0	0
54751	1687	2834	413	1208	1337	1759	1440	386	449	1672
440567	16	10	14	10	38	0	5	2	14	14
729614	158	162	96	96	86	146	53	62	234	99
23013	683	1095	275	651	649	436	607	442	928	617
7709	601	830	188	381	350	446	513	214	616	400
149563	0	0	0	0	0	0	0	0	0	0
27129	23	306	96	48	33	41	88	164	103	43
1187	0	11	15	5	1	23	10	33	7	5
1188	0	5	7	3	1	8	15	3	1	10
348487	1	2	2	3	2	4	4	9	1	12
1969	2588	3846	116	583	2028	613	442	220	720	300
101927479	366	470	25	67	194	48	45	9	33	18
128272	252	419	78	156	219	225	180	141	164	138
101927546	53	64	56	33	31	32	43	24	19	37
79363	98	228	61	64	20	76	116	88	68	53
54455	326	788	156	247	220	231	367	74	402	268
26099	419	869	73	345	373	204	505	89	362	350
374955	300	471	61	269	243	204	449	84	276	295
55707	1581	1580	316	920	1019	990	771	211	1516	779
107984921	35	43	3	37	19	12	17	26	40	30
114819	318	324	131	353	137	271	242	159	434	225
26871	1103	2937	419	2125	2648	937	923	211	1697	2079
107985757	0	0	0	0	0	0	0	0	0	0
100132147	5	9	8	1	2	7	2	26	9	2
107985758	0	8	0	0	1	4	2	2	2	2
7195	0	0	0	0	0	0	0	0	0	0
55672	307	530	162	403	179	236	642	116	436	282
105376794	430	617	142	328	86	328	468	137	356	159
84809	301	331	58	207	51	147	281	81	271	117
11209	59	90	93	87	14	278	102	133	26	77
107985736	1	10	5	6	1	4	4	11	5	6
26869	1048	2790	378	2017	2433	883	829	190	1585	1897
107985759	0	0	0	0	0	0	0	0	0	0
284729	3	55	11	11	6	34	0	11	7	1
100189045	0	0	0	0	0	0	0	0	0	0
6060	59	282	33	89	203	63	118	18	83	177
11223	104	58	254	218	13	505	153	372	20	135
100500876	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0
112267871	7	12	22	8	0	0	0	33	11	8
7193	1	2	5	0	0	0	0	6	5	0
100189183	0	0	0	0	0	0	0	0	0	0
105376805	11	18	16	16	19	11	23	19	16	13
791226	0	0	0	0	0	0	0	0	0	0
26870	50	234	27	68	151	43	108	16	63	122
9696	1002	1475	342	665	325	780	774	290	712	621
4237	176	321	22	96	150	126	282	31	15	136
105376806	48	90	20	42	54	51	76	9	3	40
23400	829	800	756	733	411	647	699	1117	740	676
6390	317	521	134	228	362	206	259	121	307	287
11240	288	55	57	321	139	460	128	59	44	296
105376808	0	0	0	0	0	0	0	0	0	0
400743	5	5	0	0	9	0	0	0	0	0
29943	745	102	11	633	3702	8	3	6	43	3
51702	27	4	0	15	187	9	0	0	0	2
100616188	0	0	0	0	1	0	0	0	0	0
23569	49	13	0	7	0	35	33	0	26	16
353238	0	0	0	0	0	0	7	0	2	0
55920	1108	1537	204	1022	1407	972	800	183	873	879
55160	1991	2909	1639	1376	976	2352	1775	1762	755	1852
107984028	0	0	0	0	0	0	0	0	0	0
81569	0	0	0	0	0	0	0	0	0	0
105376809	0	0	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0	0	0
84966	25	64	7	11	1	20	30	6	8	13
105376814	3	8	0	2	0	0	0	0	2	3
127707	47	359	171	75	64	185	85	188	0	149
5081	0	0	0	0	0	0	0	0	0	0
80834	0	0	0	0	0	0	0	0	0	0
8659	100	197	31	125	95	79	100	61	171	134
100616120	0	2	0	0	0	5	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0	0
126917	719	1850	503	495	289	1205	608	405	396	623
105376815	0	0	15	3	0	3	1	8	0	3
23352	3056	4179	1071	2361	2391	1388	3025	1137	2943	2124
101927895	53	82	9	20	17	17	46	15	24	24
23065	592	1283	173	337	272	370	414	92	407	366
51154	521	1087	281	301	313	475	304	202	373	388
246181	58	122	78	17	14	38	21	104	1	46
22977	197	1076	773	225	90	248	281	989	9	406
100506730	6	10	4	4	14	20	7	2	6	18
8574	302	410	98	152	228	159	183	200	170	201
54896	315	333	106	242	93	240	281	170	296	251
832	633	1693	96	418	639	301	596	72	464	329
105376819	7	16	6	10	2	7	2	0	5	5
105376818	0	5	0	7	2	2	0	0	2	1
105376817	2	5	0	5	5	2	5	0	1	5
105378614	0	0	0	0	0	0	0	0	0	0
440574	90	263	53	47	38	94	79	34	86	66
100532736	6327	12380	380	2420	2033	2470	7354	140	1242	2435
644068	10	6	4	8	2	5	7	7	7	3
4681	6377	12506	392	2439	2038	2482	7367	133	1264	2483
3362	8	5	4	10	1	13	24	9	6	0
255104	690	774	411	587	553	551	492	392	559	796
54546	6	79	131	27	4	36	41	145	0	80
105376823	0	0	0	0	0	0	0	0	0	0
23252	183	306	50	84	73	97	79	28	101	81
30814	0	0	0	0	0	0	0	0	0	0
5320	29	0	0	0	0	0	52	0	25	12
5322	41	9	0	7	18	4	7	3	23	2
26279	158	0	0	24	16	11	1	0	398	7
64600	25	8	0	2	19	0	0	0	1	0
391013	5	2	0	0	5	0	5	0	2	0
127733	63	321	0	53	171	31	51	1	16	32
101928017	5	9	0	0	7	0	7	0	4	2
105376825	1	0	0	0	2	0	0	0	0	1
105376826	0	5	0	0	6	0	0	0	0	0
105376827	0	0	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0	0	0
127731	0	301	2	8	23	12	6	0	7	57
339505	0	0	0	2	0	5	2	0	0	7
55450	82	232	6	22	161	12	33	4	8	21
79594	318	396	94	230	221	180	313	96	220	283
163933	52	36	1	18	30	26	68	0	9	16
978	41	38	0	2	39	8	0	0	0	2
65018	686	834	349	555	425	587	736	263	396	622
102464833	57	63	13	10	11	56	22	9	6	6
100861548	406	480	199	326	255	308	543	233	247	343
1650	2179	3543	1175	1101	1432	1355	1922	1122	1124	1508
57576	51	92	1	48	33	14	99	3	112	45
400745	13	86	0	2	3	8	7	0	1	0
112268222	222	122	110	302	252	111	191	98	205	227
50809	3657	4825	1839	3033	2791	2603	2643	1133	5527	2925
8672	1007	1712	368	715	883	682	888	166	1361	748
105376830	5	0	3	5	9	0	9	3	5	1
105376829	0	8	6	1	7	4	0	3	10	0
100302155	0	0	0	1	0	0	0	0	0	0
1889	2741	1861	1873	2157	2072	1706	1842	2275	1960	2671
100506801	17	25	18	15	27	15	10	3	54	15
105376832	0	0	0	0	0	0	0	0	0	1
84224	71	156	55	74	45	76	112	13	77	96
249	91	21	34	40	30	26	90	29	118	18
105376834	2	0	0	1	0	0	0	5	0	0
5909	636	528	1193	890	290	711	412	1393	43	1208
84196	729	1035	417	481	453	301	459	239	998	447
401944	1514	1539	166	849	918	666	1832	250	560	694
3339	26736	32772	4028	17487	16438	13201	37883	3670	9906	14279
23436	95	26	77831	2351	39	4112	11159	106418	15	27228
10136	110	30	103883	9777	33	7945	10784	137848	26	25380
101928043	0	19	1	2	0	4	0	22	6	4
29092	18	20	27	18	15	16	0	76	28	22
112268223	15	33	6	12	7	4	15	13	14	5
998	694	2312	304	478	778	560	409	164	1003	608
54361	72	48	12	104	53	154	91	52	26	271
105376845	17	15	0	7	7	10	0	0	0	16
105376850	22	37	0	2	7	6	0	0	5	8
107985377	0	0	0	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0	0	0
105376856	0	0	0	0	0	0	0	0	0	0
9923	971	1089	502	652	290	507	610	385	1051	528
2046	0	35	38	11	0	17	0	46	0	24
102466615	0	0	0	0	0	0	0	0	0	0
712	10962	3127	895	7140	5717	7740	4173	258	7593	6077
714	2033	894	178	2585	1566	1274	1088	40	2396	1856
713	2663	552	289	5056	2808	1751	1156	73	3265	2964
2048	423	659	198	398	673	413	697	160	300	605
100616391	2	0	0	2	4	0	0	0	0	2
100422914	15	25	3	8	17	15	21	1	13	12
646262	0	0	0	0	0	0	0	0	0	0
729059	0	0	0	0	0	0	0	0	0	0
23028	2099	4041	1285	1738	2308	1761	1630	1136	3394	1681
100422866	0	0	0	2	0	0	0	0	0	0
7798	508	629	69	317	400	158	417	88	349	259
3352	7	16	8	2	17	0	0	0	0	0
100996511	21	64	15	19	5	16	27	4	39	29
10236	316	850	133	266	405	191	223	93	372	342
80818	243	265	148	286	199	195	507	180	225	227
148898	57	125	38	41	38	75	147	91	40	55
6920	1679	5062	5730	2084	813	2873	2312	4910	1152	3866
55616	824	957	507	485	254	687	1638	379	334	670
1870	53	61	2	51	24	35	42	0	74	24
101928163	7	17	0	4	0	1	3	0	5	2
105376859	6	0	9	2	2	2	3	0	7	0
3399	1127	563	63	337	594	502	280	79	409	213
107984928	2	0	0	0	0	0	0	0	2	0
259283	0	0	0	0	0	0	5	0	8	0
6135	343	925	190	387	1270	261	245	151	550	441
6924	269	513	199	187	229	197	291	233	192	245
100506963	17	44	12	20	32	25	42	20	34	24
57095	228	226	29	84	132	58	176	75	149	116
105376860	102	96	20	41	48	72	40	5	44	55
11313	1062	964	214	696	640	731	528	199	662	729
2582	695	1542	74	311	577	286	122	101	130	243
3155	481	934	257	416	409	431	405	123	594	401
105376861	8	13	2	0	1	0	0	0	0	0
2517	397	335	83	161	250	168	82	44	486	214
1269	150	2	1	8	18	7	76	6	754	8
107984929	10	0	0	3	0	0	4	0	53	2
100616492	0	0	0	0	0	0	0	0	0	0
55629	124	236	40	83	105	46	88	28	112	84
10772	323	835	169	230	199	188	294	144	328	326
105378615	0	0	0	0	0	0	0	0	0	0
105376863	1	7	0	0	0	0	0	0	1	0
